Date,County,Total_Cases,Negatives,Deaths
4/26/20,Philadelphia,11152,24646,272
4/26/20,Pike,349,1106,12
4/26/20,Potter,4,72,0
4/26/20,Schuylkill,321,1803,5
4/26/20,Snyder,33,172,1
4/26/20,Somerset,25,486,0
4/26/20,Sullivan,1,27,0
4/26/20,Susquehanna,79,235,4
4/26/20,Tioga,14,205,1
4/26/20,Union,31,478,0
4/26/20,Venango,7,226,0
4/26/20,Warren,1,150,0
4/26/20,Washington,101,1865,2
4/26/20,Wayne,92,468,3
4/26/20,Westmoreland,374,4086,19
4/26/20,Wyoming,17,121,2
4/26/20,York,593,6326,8
4/25/20,Adams,113,1371,1
4/25/20,Allegheny,1198,13961,73
4/25/20,Armstrong,46,593,2
4/25/20,Beaver,359,1831,46
4/25/20,Bedford,21,148,1
4/25/20,Berks,2406,4759,88
4/25/20,Blair,21,848,0
4/25/20,Bradford,28,505,2
4/25/20,Bucks,2421,7046,136
4/25/20,Butler,168,2016,6
4/25/20,Cambria,21,848,1
4/25/20,Cameron,1,33,0
4/25/20,Carbon,162,896,12
4/25/20,Centre,81,793,1
4/25/20,Chester,1134,4614,82
4/25/20,Clarion,22,454,1
4/25/20,Clearfield,11,379,0
4/25/20,Clinton,18,160,0
4/25/20,Columbia,257,386,7
4/25/20,Crawford,19,616,0
4/25/20,Cumberland,250,1167,8
4/25/20,Dauphin,492,2950,18
4/25/20,Delaware,3161,7492,140
4/25/20,Elk,2,142,0
4/25/20,Erie,79,1533,0
4/25/20,Fayette,79,1584,4
4/25/20,Forest,7,24,0
4/25/20,Franklin,181,2516,1
4/25/20,Fulton,3,65,0
4/25/20,Greene,25,384,0
4/25/20,Huntingdon,22,225,0
4/25/20,Indiana,63,564,4
4/25/20,Jefferson,4,288,0
4/25/20,Juniata,77,102,0
4/25/20,Lackawanna,772,1943,63
4/25/20,Lancaster,1501,6692,74
4/25/20,Lawrence,61,634,5
4/25/20,Lebanon,592,2283,7
4/25/20,Lehigh,2551,6536,50
4/25/20,Luzerne,1962,4079,66
4/25/20,Lycoming,53,950,0
4/25/20,McKean,5,149,0
4/25/20,Mercer,64,621,1
4/25/20,Mifflin,26,595,0
4/25/20,Monroe,1054,2290,44
4/25/20,Montgomery,3627,14240,214
4/25/20,Montour,47,2939,0
4/25/20,Northampton,1780,5643,49
4/25/20,Northumberland,87,423,0
4/25/20,Perry,26,168,1
4/25/20,Philadelphia,10893,24078,272
4/25/20,Pike,347,1093,12
4/25/20,Potter,4,72,0
4/25/20,Schuylkill,311,1732,5
4/25/20,Snyder,32,165,1
4/25/20,Somerset,25,467,0
4/25/20,Sullivan,1,27,0
4/25/20,Susquehanna,77,222,4
4/25/20,Tioga,14,200,1
4/25/20,Union,31,467,0
4/25/20,Venango,7,222,0
4/25/20,Warren,1,149,0
4/25/20,Washington,99,1817,2
4/25/20,Wayne,92,459,3
4/25/20,Westmoreland,360,3969,19
4/25/20,Wyoming,17,110,2
4/25/20,York,578,6159,8
4/24/20,Adams,110,1329,1
4/24/20,Allegheny,1177,13200,71
4/24/20,Armstrong,43,574,2
4/24/20,Beaver,337,1798,46
4/24/20,Bedford,21,144,1
4/24/20,Berks,2339,4590,87
4/24/20,Blair,19,740,0
4/24/20,Bradford,28,489,2
4/24/20,Bucks,2283,6747,128
4/24/20,Butler,168,1978,6
4/24/20,Cambria,20,829,1
4/24/20,Cameron,1,23,0
4/24/20,Carbon,160,865,12
4/24/20,Centre,77,762,1
4/24/20,Chester,1064,4496,77
4/24/20,Clarion,22,450,1
4/24/20,Clearfield,11,370,0
4/24/20,Clinton,17,152,0
4/24/20,Columbia,252,365,7
4/24/20,Crawford,19,611,0
4/24/20,Cumberland,240,1113,8
4/24/20,Dauphin,468,2831,19
4/24/20,Delaware,3055,7229,129
4/24/20,Elk,2,133,0
4/24/20,Erie,72,1492,0
4/24/20,Fayette,75,1527,4
4/24/20,Forest,7,24,0
4/24/20,Franklin,164,2452,1
4/24/20,Fulton,2,63,0
4/24/20,Greene,25,364,0
4/24/20,Huntingdon,20,215,0
4/24/20,Indiana,62,538,4
4/24/20,Jefferson,4,287,0
4/24/20,Juniata,77,92,0
4/24/20,Lackawanna,735,1840,61
4/24/20,Lancaster,1451,6549,74
4/24/20,Lawrence,61,621,5
4/24/20,Lebanon,575,2209,6
4/24/20,Lehigh,2478,6344,49
4/24/20,Luzerne,1921,3910,62
4/24/20,Lycoming,48,919,0
4/24/20,McKean,5,144,0
4/24/20,Mercer,64,613,1
4/24/20,Mifflin,26,588,0
4/24/20,Monroe,1037,2230,44
4/24/20,Montgomery,3525,13823,208
4/24/20,Montour,47,2937,0
4/24/20,Northampton,1716,5498,46
4/24/20,Northumberland,84,392,0
4/24/20,Perry,25,158,1
4/24/20,Philadelphia,10507,23079,272
4/24/20,Pike,338,1058,12
4/24/20,Potter,4,70,0
4/24/20,Schuylkill,300,1666,5
4/24/20,Snyder,31,158,1
4/24/20,Somerset,22,457,0
4/24/20,Sullivan,1,26,0
4/24/20,Susquehanna,76,212,4
4/24/20,Tioga,14,197,1
4/24/20,Union,31,461,0
4/24/20,Venango,7,215,0
4/24/20,Warren,1,149,0
4/24/20,Washington,96,1766,2
4/24/20,Wayne,88,448,3
4/24/20,Westmoreland,317,3846,17
4/24/20,Wyoming,17,100,2
4/24/20,York,563,5936,8
4/23/20,Adams,95,1286,1
4/23/20,Allegheny,1149,12625,69
4/23/20,Armstrong,43,552,2
4/23/20,Beaver,319,1667,46
4/23/20,Bedford,20,129,1
4/23/20,Berks,2212,4408,86
4/23/20,Blair,15,675,0
4/23/20,Bradford,28,466,2
4/23/20,Bucks,2131,6414,116
4/23/20,Butler,164,1944,6
4/23/20,Cambria,20,760,1
4/23/20,Cameron,1,23,0
4/23/20,Carbon,155,837,9
4/23/20,Centre,76,718,1
4/23/20,Chester,989,4322,64
4/23/20,Clarion,20,391,1
4/23/20,Clearfield,11,357,0
4/23/20,Clinton,14,138,0
4/23/20,Columbia,245,332,7
4/23/20,Crawford,19,559,0
4/23/20,Cumberland,229,1053,7
4/23/20,Dauphin,445,2733,16
4/23/20,Delaware,2902,6967,119
4/23/20,Elk,2,129,0
4/23/20,Erie,68,1416,0
4/23/20,Fayette,71,1475,3
4/23/20,Forest,7,21,0
4/23/20,Franklin,151,2367,1
4/23/20,Fulton,2,58,0
4/23/20,Greene,25,358,0
4/23/20,Huntingdon,20,207,0
4/23/20,Indiana,59,488,4
4/23/20,Jefferson,4,273,0
4/23/20,Juniata,77,82,0
4/23/20,Lackawanna,707,1762,58
4/23/20,Lancaster,1359,6267,72
4/23/20,Lawrence,61,585,5
4/23/20,Lebanon,544,2128,6
4/23/20,Lehigh,2418,6205,43
4/23/20,Luzerne,1880,3733,58
4/23/20,Lycoming,44,876,0
4/23/20,McKean,5,141,0
4/23/20,Mercer,60,560,1
4/23/20,Mifflin,24,573,0
4/23/20,Monroe,1024,2167,42
4/23/20,Montgomery,3395,13442,204
4/23/20,Montour,47,2941,0
4/23/20,Northampton,1656,5341,45
4/23/20,Northumberland,82,355,0
4/23/20,Perry,23,145,1
4/23/20,Philadelphia,10090,22384,271
4/23/20,Pike,327,1031,12
4/23/20,Potter,4,68,0
4/23/20,Schuylkill,290,1600,5
4/23/20,Snyder,31,154,1
4/23/20,Somerset,20,427,0
4/23/20,Sullivan,1,25,0
4/23/20,Susquehanna,72,198,4
4/23/20,Tioga,14,191,1
4/23/20,Union,30,447,0
4/23/20,Venango,7,199,0
4/23/20,Warren,1,138,0
4/23/20,Washington,92,1722,2
4/23/20,Wayne,87,430,3
4/23/20,Westmoreland,307,3801,17
4/23/20,Wyoming,17,90,1
4/23/20,York,546,5705,7
4/22/20,Adams,92,1254,2
4/22/20,Allegheny,1088,11959,74
4/22/20,Armstrong,39,505,2
4/22/20,Beaver,317,1638,47
4/22/20,Bedford,16,112,1
4/22/20,Berks,2069,4139,85
4/22/20,Blair,14,650,0
4/22/20,Bradford,29,457,5
4/22/20,Bucks,2004,6108,126
4/22/20,Butler,164,1876,7
4/22/20,Cambria,21,642,2
4/22/20,Cameron,1,19,0
4/22/20,Carbon,154,814,11
4/22/20,Centre,76,618,2
4/22/20,Chester,950,4178,67
4/22/20,Clarion,19,384,1
