Date,County,Total_Cases,Negatives,Deaths
2020-04-26,Northumberland,90,453,0
2020-04-26,Perry,26,176,1
2020-04-26,Philadelphia,11152,24646,272
2020-04-26,Pike,349,1106,12
2020-04-26,Potter,4,72,0
2020-04-26,Schuylkill,321,1803,5
2020-04-26,Snyder,33,172,1
2020-04-26,Somerset,25,486,0
2020-04-26,Sullivan,1,27,0
2020-04-26,Susquehanna,79,235,4
2020-04-26,Tioga,14,205,1
2020-04-26,Union,31,478,0
2020-04-26,Venango,7,226,0
2020-04-26,Warren,1,150,0
2020-04-26,Washington,101,1865,2
2020-04-26,Wayne,92,468,3
2020-04-26,Westmoreland,374,4086,19
2020-04-26,Wyoming,17,121,2
2020-04-26,York,593,6326,8
2020-04-25,Adams,113,1371,1
2020-04-25,Allegheny,1198,13961,73
2020-04-25,Armstrong,46,593,2
2020-04-25,Beaver,359,1831,46
2020-04-25,Bedford,21,148,1
2020-04-25,Berks,2406,4759,88
2020-04-25,Blair,21,848,0
2020-04-25,Bradford,28,505,2
2020-04-25,Bucks,2421,7046,136
2020-04-25,Butler,168,2016,6
2020-04-25,Cambria,21,848,1
2020-04-25,Cameron,1,33,0
2020-04-25,Carbon,162,896,12
2020-04-25,Centre,81,793,1
2020-04-25,Chester,1134,4614,82
2020-04-25,Clarion,22,454,1
2020-04-25,Clearfield,11,379,0
2020-04-25,Clinton,18,160,0
2020-04-25,Columbia,257,386,7
2020-04-25,Crawford,19,616,0
2020-04-25,Cumberland,250,1167,8
2020-04-25,Dauphin,492,2950,18
2020-04-25,Delaware,3161,7492,140
2020-04-25,Elk,2,142,0
2020-04-25,Erie,79,1533,0
2020-04-25,Fayette,79,1584,4
2020-04-25,Forest,7,24,0
2020-04-25,Franklin,181,2516,1
2020-04-25,Fulton,3,65,0
2020-04-25,Greene,25,384,0
2020-04-25,Huntingdon,22,225,0
2020-04-25,Indiana,63,564,4
2020-04-25,Jefferson,4,288,0
2020-04-25,Juniata,77,102,0
2020-04-25,Lackawanna,772,1943,63
2020-04-25,Lancaster,1501,6692,74
2020-04-25,Lawrence,61,634,5
2020-04-25,Lebanon,592,2283,7
2020-04-25,Lehigh,2551,6536,50
2020-04-25,Luzerne,1962,4079,66
2020-04-25,Lycoming,53,950,0
2020-04-25,McKean,5,149,0
2020-04-25,Mercer,64,621,1
2020-04-25,Mifflin,26,595,0
2020-04-25,Monroe,1054,2290,44
2020-04-25,Montgomery,3627,14240,214
2020-04-25,Montour,47,2939,0
2020-04-25,Northampton,1780,5643,49
2020-04-25,Northumberland,87,423,0
2020-04-25,Perry,26,168,1
2020-04-25,Philadelphia,10893,24078,272
2020-04-25,Pike,347,1093,12
2020-04-25,Potter,4,72,0
2020-04-25,Schuylkill,311,1732,5
2020-04-25,Snyder,32,165,1
2020-04-25,Somerset,25,467,0
2020-04-25,Sullivan,1,27,0
2020-04-25,Susquehanna,77,222,4
2020-04-25,Tioga,14,200,1
2020-04-25,Union,31,467,0
2020-04-25,Venango,7,222,0
2020-04-25,Warren,1,149,0
2020-04-25,Washington,99,1817,2
2020-04-25,Wayne,92,459,3
2020-04-25,Westmoreland,360,3969,19
2020-04-25,Wyoming,17,110,2
2020-04-25,York,578,6159,8
2020-04-24,Adams,110,1329,1
2020-04-24,Allegheny,1177,13200,71
2020-04-24,Armstrong,43,574,2
2020-04-24,Beaver,337,1798,46
2020-04-24,Bedford,21,144,1
2020-04-24,Berks,2339,4590,87
2020-04-24,Blair,19,740,0
2020-04-24,Bradford,28,489,2
2020-04-24,Bucks,2283,6747,128
2020-04-24,Butler,168,1978,6
2020-04-24,Cambria,20,829,1
2020-04-24,Cameron,1,23,0
2020-04-24,Carbon,160,865,12
2020-04-24,Centre,77,762,1
2020-04-24,Chester,1064,4496,77
2020-04-24,Clarion,22,450,1
2020-04-24,Clearfield,11,370,0
2020-04-24,Clinton,17,152,0
2020-04-24,Columbia,252,365,7
2020-04-24,Crawford,19,611,0
2020-04-24,Cumberland,240,1113,8
2020-04-24,Dauphin,468,2831,19
2020-04-24,Delaware,3055,7229,129
2020-04-24,Elk,2,133,0
2020-04-24,Erie,72,1492,0
2020-04-24,Fayette,75,1527,4
2020-04-24,Forest,7,24,0
2020-04-24,Franklin,164,2452,1
2020-04-24,Fulton,2,63,0
2020-04-24,Greene,25,364,0
2020-04-24,Huntingdon,20,215,0
2020-04-24,Indiana,62,538,4
2020-04-24,Jefferson,4,287,0
2020-04-24,Juniata,77,92,0
2020-04-24,Lackawanna,735,1840,61
2020-04-24,Lancaster,1451,6549,74
2020-04-24,Lawrence,61,621,5
2020-04-24,Lebanon,575,2209,6
2020-04-24,Lehigh,2478,6344,49
2020-04-24,Luzerne,1921,3910,62
2020-04-24,Lycoming,48,919,0
2020-04-24,McKean,5,144,0
2020-04-24,Mercer,64,613,1
2020-04-24,Mifflin,26,588,0
2020-04-24,Monroe,1037,2230,44
2020-04-24,Montgomery,3525,13823,208
2020-04-24,Montour,47,2937,0
2020-04-24,Northampton,1716,5498,46
2020-04-24,Northumberland,84,392,0
2020-04-24,Perry,25,158,1
2020-04-24,Philadelphia,10507,23079,272
2020-04-24,Pike,338,1058,12
2020-04-24,Potter,4,70,0
2020-04-24,Schuylkill,300,1666,5
2020-04-24,Snyder,31,158,1
2020-04-24,Somerset,22,457,0
2020-04-24,Sullivan,1,26,0
2020-04-24,Susquehanna,76,212,4
2020-04-24,Tioga,14,197,1
2020-04-24,Union,31,461,0
2020-04-24,Venango,7,215,0
2020-04-24,Warren,1,149,0
2020-04-24,Washington,96,1766,2
2020-04-24,Wayne,88,448,3
2020-04-24,Westmoreland,317,3846,17
2020-04-24,Wyoming,17,100,2
2020-04-24,York,563,5936,8
2020-04-23,Adams,95,1286,1
2020-04-23,Allegheny,1149,12625,69
2020-04-23,Armstrong,43,552,2
2020-04-23,Beaver,319,1667,46
2020-04-23,Bedford,20,129,1
2020-04-23,Berks,2212,4408,86
2020-04-23,Blair,15,675,0
2020-04-23,Bradford,28,466,2
2020-04-23,Bucks,2131,6414,116
2020-04-23,Butler,164,1944,6
2020-04-23,Cambria,20,760,1
2020-04-23,Cameron,1,23,0
2020-04-23,Carbon,155,837,9
2020-04-23,Centre,76,718,1
2020-04-23,Chester,989,4322,64
2020-04-23,Clarion,20,391,1
2020-04-23,Clearfield,11,357,0
2020-04-23,Clinton,14,138,0
2020-04-23,Columbia,245,332,7
2020-04-23,Crawford,19,559,0
2020-04-23,Cumberland,229,1053,7
2020-04-23,Dauphin,445,2733,16
2020-04-23,Delaware,2902,6967,119
2020-04-23,Elk,2,129,0
2020-04-23,Erie,68,1416,0
2020-04-23,Fayette,71,1475,3
2020-04-23,Forest,7,21,0
2020-04-23,Franklin,151,2367,1
2020-04-23,Fulton,2,58,0
2020-04-23,Greene,25,358,0
2020-04-23,Huntingdon,20,207,0
2020-04-23,Indiana,59,488,4
2020-04-23,Jefferson,4,273,0
2020-04-23,Juniata,77,82,0
2020-04-23,Lackawanna,707,1762,58
2020-04-23,Lancaster,1359,6267,72
2020-04-23,Lawrence,61,585,5
2020-04-23,Lebanon,544,2128,6
2020-04-23,Lehigh,2418,6205,43
2020-04-23,Luzerne,1880,3733,58
2020-04-23,Lycoming,44,876,0
2020-04-23,McKean,5,141,0
2020-04-23,Mercer,60,560,1
2020-04-23,Mifflin,24,573,0
2020-04-23,Monroe,1024,2167,42
2020-04-23,Montgomery,3395,13442,204
2020-04-23,Montour,47,2941,0
2020-04-23,Northampton,1656,5341,45
2020-04-23,Northumberland,82,355,0
2020-04-23,Perry,23,145,1
2020-04-23,Philadelphia,10090,22384,271
2020-04-23,Pike,327,1031,12
2020-04-23,Potter,4,68,0
2020-04-23,Schuylkill,290,1600,5
2020-04-23,Snyder,31,154,1
2020-04-23,Somerset,20,427,0
2020-04-23,Sullivan,1,25,0
2020-04-23,Susquehanna,72,198,4
2020-04-23,Tioga,14,191,1
2020-04-23,Union,30,447,0
2020-04-23,Venango,7,199,0
2020-04-23,Warren,1,138,0
2020-04-23,Washington,92,1722,2
2020-04-23,Wayne,87,430,3
2020-04-23,Westmoreland,307,3801,17
2020-04-23,Wyoming,17,90,1
2020-04-23,York,546,5705,7
2020-04-22,Adams,92,1254,2
2020-04-22,Allegheny,1088,11959,74
2020-04-22,Armstrong,39,505,2
2020-04-22,Beaver,317,1638,47
2020-04-22,Bedford,16,112,1
2020-04-22,Berks,2069,4139,85
2020-04-22,Blair,14,650,0
2020-04-22,Bradford,29,457,5
2020-04-22,Bucks,2004,6108,126
2020-04-22,Butler,164,1876,7
2020-04-22,Cambria,21,642,2
2020-04-22,Cameron,1,19,0
2020-04-22,Carbon,154,814,11
2020-04-22,Centre,76,618,2
2020-04-22,Chester,950,4178,67
2020-04-22,Clarion,19,384,1
2020-04-22,Clearfield,11,337,0
2020-04-22,Clinton,13,125,0
2020-04-22,Columbia,239,279,7
2020-04-22,Crawford,17,555,0
2020-04-22,Cumberland,207,990,6
2020-04-22,Dauphin,422,2599,13
2020-04-22,Delaware,2757,6737,123
2020-04-22,Elk,2,120,0
2020-04-22,Erie,62,1351,0
2020-04-22,Fayette,70,1394,3
2020-04-22,Forest,7,20,0
2020-04-22,Franklin,152,2280,10
2020-04-22,Fulton,2,58,0
2020-04-22,Greene,25,347,0
2020-04-22,Huntingdon,15,198,0
2020-04-22,Indiana,56,459,4
2020-04-22,Jefferson,3,262,0
2020-04-22,Juniata,73,76,0
2020-04-22,Lackawanna,682,1661,57
2020-04-22,Lancaster,1326,6104,86
2020-04-22,Lawrence,61,550,6
2020-04-22,Lebanon,535,2065,8
2020-04-22,Lehigh,2374,6043,49
2020-04-22,Luzerne,1848,3569,60
2020-04-22,Lycoming,43,853,2
2020-04-22,McKean,5,138,0
2020-04-22,Mercer,59,538,1
2020-04-22,Mifflin,22,540,0
2020-04-22,Monroe,1015,2131,48
2020-04-22,Montgomery,3294,12961,230
2020-04-22,Montour,47,2938,0
2020-04-22,Northampton,1591,5141,44
2020-04-22,Northumberland,77,324,0
2020-04-22,Perry,23,134,1
2020-04-22,Philadelphia,9696,21464,365
2020-04-22,Pike,317,1006,12
2020-04-22,Potter,4,65,0
2020-04-22,Schuylkill,283,1560,7
2020-04-22,Snyder,31,143,1
2020-04-22,Somerset,19,381,0
2020-04-22,Sullivan,1,24,0
2020-04-22,Susquehanna,71,185,4
2020-04-22,Tioga,15,184,2
2020-04-22,Union,30,429,0
2020-04-22,Venango,6,191,0
2020-04-22,Warren,2,137,1
2020-04-22,Washington,87,1616,2
2020-04-22,Wayne,86,408,3
2020-04-22,Westmoreland,300,3581,20
2020-04-22,Wyoming,17,83,1
2020-04-22,York,531,5585,14
2020-04-21,Adams,91,1237,2
2020-04-21,Allegheny,1059,11611,67
2020-04-21,Armstrong,38,474,2
2020-04-21,Beaver,303,1628,43
2020-04-21,Bedford,16,109,1
